I	beta(I)
0.471	1.3605
0.472	1.3639
0.473	1.3674
0.474	1.3707
0.475	1.3741
0.476	1.3775
0.477	1.3808
0.478	1.3842
0.479	1.3875
0.48	1.3908
0.481	1.3942
0.482	1.3975
0.483	1.4008
0.484	1.404
0.485	1.4073
0.486	1.4106
0.487	1.4138
0.488	1.417
0.489	1.4202
0.49	1.4234
0.491	1.4266
0.492	1.4298
0.493	1.433
0.494	1.4361
0.495	1.4392
0.496	1.4424
0.497	1.4455
0.498	1.4486
0.499	1.4516
0.5	1.4547
0.501	1.4577
0.502	1.4608
0.503	1.4638
0.504	1.4668
0.505	1.4697
0.506	1.4727
0.507	1.4756
0.508	1.4786
0.509	1.4815
0.51	1.4844
0.511	1.4872
0.512	1.4901
0.513	1.4929
0.514	1.4958
0.515	1.4986
0.516	1.5014
0.517	1.5041
0.518	1.5069
0.519	1.5096
0.52	1.5123
0.521	1.515
0.522	1.5177
0.523	1.5203
0.524	1.523
0.525	1.5256
0.526	1.5281
0.527	1.5307
0.528	1.5333
0.529	1.5358
0.53	1.5383
0.531	1.5408
0.532	1.5432
0.533	1.5457
0.534	1.5481
0.535	1.5505
0.536	1.5529
0.537	1.5552
0.538	1.5576
0.539	1.5599
0.54	1.5622
0.541	1.5644
0.542	1.5667
0.543	1.5689
0.544	1.5711
0.545	1.5733
0.546	1.5754
0.547	1.5775
0.548	1.5796
0.549	1.5817
0.55	1.5837
0.551	1.5858
0.552	1.5878
0.553	1.5898
0.554	1.5917
0.555	1.5936
0.556	1.5955
0.557	1.5974
0.558	1.5993
0.559	1.6011
0.56	1.6029
0.561	1.6047
0.562	1.6064
0.563	1.6081
0.564	1.6099
0.565	1.6115
0.566	1.6132
0.567	1.6148
0.568	1.6164
0.569	1.6179
0.57	1.6195
0.571	1.621
0.572	1.6225
0.573	1.6239
0.574	1.6254
0.575	1.6268
0.576	1.6281
0.577	1.6295
0.578	1.6308
0.579	1.6321
0.58	1.6334
0.581	1.6346
0.582	1.6358
0.583	1.637
0.584	1.6382
0.585	1.6393
0.586	1.6404
0.587	1.6415
0.588	1.6425
0.589	1.6435
0.59	1.6445
0.591	1.6454
0.592	1.6464
0.593	1.6473
0.594	1.6481
0.595	1.649
0.596	1.6498
0.597	1.6505
0.598	1.6513
0.599	1.652
0.6	1.6527
0.601	1.6534
0.602	1.654
0.603	1.6546
0.604	1.6552
